SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
112,2015,Honker,annual,Odocoileus hemionus,410329.75,410329.75,1
113,2015,Honker,annual,Oncorhynchus gorbuscha,4269,8070,0.528996283
113,2015,Honker,annual,Odocoileus hemionus,1941.66667,8070,0.240603057
113,2015,Honker,annual,Castor canadensis,1859.33333,8070,0.23040066
114,2015,Honker,annual,Anaxyrus boreas,963,88939.66667,0.010827565
114,2015,Honker,annual,Castor canadensis,640,88939.66667,0.007195889
114,2015,Honker,annual,Haliaeetus leucocephalus,3540.66667,88939.66667,0.039809759
114,2015,Honker,annual,Odocoileus hemionus,79223,88939.66667,0.890749909
114,2015,Honker,annual,Microtus sp.,1184,88939.66667,0.013312395
114,2015,Honker,annual,Oncorhynchus kisutch,233,88939.66667,0.002619753
114,2015,Honker,annual,Sturnus vulgaris,2450,88939.66667,0.027546764
114,2015,Honker,annual,Ursus americanus,706,88939.66667,0.007937965
115,2015,Honker,annual,Odocoileus hemionus,109137.333,109137.333,1
117,2014,Honker,annual,Odocoileus hemionus,105284.25,105284.25,1
118,2014,Ratz,annual,Odocoileus hemionus,169633,172808.3333,0.981625115
118,2014,Ratz,annual,Ursus americanus,3175.33333,172808.3333,0.018374885
119,2014,Honker,annual,Castor canadensis,4547.5,7643.5,0.594949957
119,2014,Honker,annual,Odocoileus hemionus,3096,7643.5,0.405050043
120,2014,Trocadero,annual,Odocoileus hemionus,22634.25,23810.75,0.950589545
120,2014,Trocadero,annual,Oncorhynchus gorbuscha,1176.5,23810.75,0.049410455
121,2014,Honker,annual,Odocoileus hemionus,14395,14395,1
122,2014,Honker,annual,Odocoileus hemionus,21415.5,21415.5,1
123,2014,Honker,annual,Odocoileus hemionus,38881,38881,1
129,2015,Trocadero,annual,Oncorhynchus gorbuscha,86988.75,231051.25,0.376491146
129,2015,Trocadero,annual,Ursus americanus,74063.75,231051.25,0.320551176
129,2015,Trocadero,annual,Oncorhynchus mykiss,68854.75,231051.25,0.298006395
129,2015,Trocadero,annual,Lontra canadensis,598,231051.25,0.00258817
129,2015,Trocadero,annual,Odocoileus hemionus,546,231051.25,0.002363112
130,2015,Staney,annual,Oncorhynchus gorbuscha,34568.5,400184.25,0.086381461
130,2015,Staney,annual,Ursus americanus,361801,400184.25,0.904086055
130,2015,Staney,annual,Odocoileus hemionus,3814.75,400184.25,0.009532484
131,2015,Trocadero,annual,Odocoileus hemionus,30888.75,30888.75,1
133,2015,Honker,annual,Odocoileus hemionus,22045.5,23373.5,0.94318352
133,2015,Honker,annual,Ursus americanus,1017,23373.5,0.043510814
133,2015,Honker,annual,Oncorhynchus gorbuscha,311,23373.5,0.013305667
134,2015,Old Franks,annual,Odocoileus hemionus,187827.5,189590,0.990703624
134,2015,Old Franks,annual,Ursus americanus,1762.5,189590,0.009296376
135,2015,Staney,annual,Castor canadensis,42047.25,49129.83333,0.855839459
135,2015,Staney,annual,Odocoileus hemionus,5409.25,49129.83333,0.110101127
135,2015,Staney,annual,Ursus americanus,1000.33333,49129.83333,0.020361016
135,2015,Staney,annual,Lontra canadensis,673,49129.83333,0.013698398
136,2015,Ratz,annual,Ursus americanus,179483,181867.3333,0.986889711
136,2015,Ratz,annual,Oncorhynchus gorbuscha,1219,181867.3333,0.006702688
136,2015,Ratz,annual,Odocoileus hemionus,1165.33333,181867.3333,0.006407601
137,2015,Staney,annual,Odocoileus hemionus,3281.25,6510.583333,0.503987098
137,2015,Staney,annual,Lontra canadensis,1734,6510.583333,0.266335582
137,2015,Staney,annual,Ursus americanus,1495.333333,6510.583333,0.22967732
138,2015,Staney,annual,Odocoileus hemionus,1978,1978,1
139,2015,Ratz,annual,Odocoileus hemionus,115333.5,116971.5,0.985996589
139,2015,Ratz,annual,Ursus americanus,1638,116971.5,0.014003411
140,2015,Ratz,annual,Odocoileus hemionus,3795,4376,0.867230347
140,2015,Ratz,annual,Ursus americanus,581,4376,0.132769653
141,2015,Ratz,annual,Odocoileus hemionus,61369.3333,101404.3333,0.605194387
141,2015,Ratz,annual,Ursus americanus,40035,101404.3333,0.394805613
142,2015,Staney,annual,Odocoileus hemionus,1747.5,1747.5,1
143,2015,Honker,annual,Odocoileus hemionus,232231.75,232231.75,1
145,2015,Honker,annual,Odocoileus hemionus,78925.5,78925.5,1
146,2015,Honker,annual,Odocoileus hemionus,96027.5,96611.5,0.993955171
146,2015,Honker,annual,Ursus americanus,584,96611.5,0.006044829
147,2015,Honker,annual,Oncorhynchus kisutch,199736.75,379892.25,0.52577211
147,2015,Honker,annual,Ursus americanus,168264.25,379892.25,0.442926251
147,2015,Honker,annual,Odocoileus hemionus,11891.25,379892.25,0.031301639
148,2015,Honker,annual,Odocoileus hemionus,7045.25,9570.75,0.736123083
148,2015,Honker,annual,Castor canadensis,2525.5,9570.75,0.263876917
149,2015,Honker,annual,Odocoileus hemionus,2705.75,2705.75,1
150,2015,Honker,annual,Odocoileus hemionus,71763.6667,73882.00003,0.971328154
150,2015,Honker,annual,Ursus americanus,2118.33333,73882.00003,0.028671846
151,2015,Ratz,annual,Odocoileus hemionus,364892,368927,0.989062877
151,2015,Ratz,annual,Lontra canadensis,2780,368927,0.007535366
151,2015,Ratz,annual,Castor canadensis,1255,368927,0.003401757
152,2015,Ratz,annual,Odocoileus hemionus,33832.5,34477.5,0.981292147
152,2015,Ratz,annual,Ursus americanus,645,34477.5,0.018707853
153,2015,Ratz,annual,Odocoileus hemionus,3111,3111,1
155,2015,Honker,annual,Odocoileus hemionus,47852.75,101955.75,0.469348222
155,2015,Honker,annual,Oncorhynchus kisutch,24364.75,101955.75,0.23897377
155,2015,Honker,annual,Castor canadensis,20788.25,101955.75,0.203894827
155,2015,Honker,annual,Ursus americanus,8950,101955.75,0.08778318
156,2014,Staney,annual,Odocoileus hemionus,1374,1374,1
157,2015,Sandy Beach,annual,Ursus americanus,2757.25,3899.25,0.707123165
157,2015,Sandy Beach,annual,Odocoileus hemionus,1142,3899.25,0.292876835
158,2015,Snow Pass,annual,Odocoileus hemionus,561,561,1
159,2015,Trocadero,annual,Odocoileus hemionus,3240.25,3240.25,1
161,2015,Honker,den,Odocoileus hemionus,6795.25,6795.25,1
162,2015,Trocadero,annual,Ursus americanus,2895.75,4984.08333,0.580999516
162,2015,Trocadero,annual,Odocoileus hemionus,1419.33333,4984.08333,0.284773194
162,2015,Trocadero,annual,Oncorhynchus kisutch,669,4984.08333,0.13422729
163,2015,Trocadero,annual,Odocoileus hemionus,1203,1203,1
164,2015,Trocadero,annual,Odocoileus hemionus,1431,1810,0.790607735
164,2015,Trocadero,annual,Castor canadensis,379,1810,0.209392265
165,2015,Trocadero,annual,Odocoileus hemionus,1336,1336,1
166,2015,NA,NA,Odocoileus hemionus,26709,28002,0.953824727
166,2015,NA,NA,Haliaeetus leucocephalus,1293,28002,0.046175273
167,2015,Trocadero,annual,Odocoileus hemionus,2031.25,2031.25,1
168,2015,Trocadero,annual,Odocoileus hemionus,3397.5,3397.5,1
169,2015,Trocadero,annual,Castor canadensis,5746.25,9704,0.592152721
169,2015,Trocadero,annual,Odocoileus hemionus,3957.75,9704,0.407847279
170,2015,Trocadero,annual,Odocoileus hemionus,1731.66667,2473.66667,0.700040426
170,2015,Trocadero,annual,Oncorhynchus gorbuscha,742,2473.66667,0.299959574
171,2015,Trocadero,annual,Odocoileus hemionus,13727,20370.5,0.673866621
171,2015,Trocadero,annual,Castor canadensis,5188.5,20370.5,0.254706561
171,2015,Trocadero,annual,Oncorhynchus gorbuscha,1455,20370.5,0.071426818
172,2015,Trocadero,annual,Castor canadensis,872154.75,878685,0.992568156
172,2015,Trocadero,annual,Odocoileus hemionus,5816.25,878685,0.006619266
172,2015,Trocadero,annual,Haliaeetus leucocephalus,714,878685,8.13E-04
173,2015,Trocadero,annual,Odocoileus hemionus,3673,5137.5,0.714939173
173,2015,Trocadero,annual,Castor canadensis,1464.5,5137.5,0.285060827
174,2015,Trocadero,annual,Oncorhynchus gorbuscha,184711,208270.0833,0.886882057
174,2015,Trocadero,annual,Haliaeetus leucocephalus,14869,208270.0833,0.071392875
174,2015,Trocadero,annual,Odocoileus hemionus,6031.75,208270.0833,0.028961193
174,2015,Trocadero,annual,Castor canadensis,2658.33333,208270.0833,0.012763875
175,2015,Trocadero,annual,Oncorhynchus gorbuscha,208945,258176.75,0.809309901
175,2015,Trocadero,annual,Haliaeetus leucocephalus,31342.5,258176.75,0.12139939
175,2015,Trocadero,annual,Odocoileus hemionus,9638,258176.75,0.037331015
175,2015,Trocadero,annual,Castor canadensis,8251.25,258176.75,0.031959694
176,2015,Trocadero,annual,Castor canadensis,5975.75,12555,0.475965751
176,2015,Trocadero,annual,Odocoileus hemionus,5819.25,12555,0.463500597
176,2015,Trocadero,annual,Haliaeetus leucocephalus,760,12555,0.060533652
177,2015,Trocadero,annual,Odocoileus hemionus,61831.25,64189,0.963268629
177,2015,Trocadero,annual,Castor canadensis,1826.75,64189,0.028458926
177,2015,Trocadero,annual,Anas sp.,531,64189,0.008272445
179,2015,Snow Pass,annual,Odocoileus hemionus,61808.66667,61808.66667,1
181,2015,Trocadero,annual,Odocoileus hemionus,116310,116310,1
182,2015,Trocadero,annual,Odocoileus hemionus,37410.33333,37410.33333,1
183,2015,Honker,annual,Castor canadensis,41854.33333,41854.33333,1
184,2015,Honker,annual,Odocoileus hemionus,60402.33333,60402.33333,1
186,2015,Staney,annual,Odocoileus hemionus,93943.33333,93943.33333,1
